symbol,date,state,state_key,pulse,slope5,weekly,close,ret_5d,ret_10d,ret_20d,ret_60d
ORCL,2022-03-15,趋势启动,trend_start,39.023,121.155,过渡,75.8893,0.0148882613830712,0.04578150679946158,-0.011906748632044883,-0.13783150316016024
ORCL,2022-03-17,二次启动,second_start,37.444,102.968,过渡,75.8893,0.02034741454779576,0.02642675694815022,-0.01041182012923747,-0.20222617675101673
ORCL,2022-04-04,二次启动,second_start,58.234,9.658,过渡,79.1565,-0.04755541145126618,-0.049943702300928705,-0.12481607587013732,-0.1656556662704013
ORCL,2022-07-05,趋势启动,trend_start,38.624,70.22,过渡,68.0477,-0.017573207120950785,0.007960739738984035,0.06530703724325182,-0.11998788897502066
ORCL,2022-07-19,二次启动,second_start,39.466,21.199,过渡,68.5894,0.024778121030029743,0.05689338408073108,0.10077519293617931,-0.11257132668212733
ORCL,2022-08-05,趋势退潮,trend_fade,77.215,-9.902,过渡,73.4411,0.02327105839689425,0.01693607894472482,-0.03451821546825362,0.014496871363069319
ORCL,2022-08-12,二次启动,second_start,86.618,9.402,多头,75.1502,-0.0061909104143862415,-0.056854021376056996,-0.0261528681069384,-0.02546444772157319
ORCL,2022-08-19,趋势退潮,trend_fade,76.216,-10.402,多头,74.6849,-0.05097871562313405,-0.05059737330430103,-0.12191707004879404,0.003479174040936339
ORCL,2022-09-09,趋势启动,trend_start,23.218,55.338,多头,72.0739,-0.09326851472047637,-0.14965102216341386,-0.16624968574263976,0.05174949388025141
ORCL,2022-10-17,趋势启动,trend_start,33.33,111.382,过渡,63.9603,0.0880334088694894,0.1648760750781082,0.17173939817395145,0.3296461669352033
ORCL,2022-10-18,二次启动,second_start,32.858,100.487,过渡,63.9698,0.09115325994091461,0.15038039437169348,0.18126217141829404,0.33573724901094604
ORCL,2022-11-09,二次启动,second_start,100.0,6.637,多头,72.2058,0.05590794918600306,0.09119748981526521,0.05828681751499665,0.16401004885376036
ORCL,2022-11-29,趋势退潮,trend_fade,82.482,-17.518,多头,77.1589,-0.023994969036038483,-0.003586934918825224,-0.006431387361482854,0.09202016736260998
ORCL,2022-12-12,二次启动,second_start,69.039,20.797,多头,77.5693,-0.009596487041904966,-0.00369080523780585,0.09414656485125938,0.03820418645997248
ORCL,2022-12-30,二次启动,second_start,76.03,9.868,多头,78.0083,0.06121911266043134,0.08798909385987796,0.08626982564474517,0.1127944206474929
ORCL,2023-01-31,趋势退潮,trend_fade,76.928,-23.072,多头,84.738,-0.008139171183876637,0.007121954856051049,-0.02396562748778175,0.07888288434940027
